date,Final Reading,Reservoir Level
19971001,160,180
19971101,160,180
19971201,159,179
19980101,159,179
19980301,161,181
19980401,162,182
19980501,160,180
19980801,160,180
19980901,160,180
19981001,160,180
19981101,161,181
19981201,160,180
19990301,160,180
19990414,161.4,181.4
19990506,161.7,181.7
19990604,161.4,181.4
19990702,161.3,181.3
19990813,160,180
19990909,161,181
19991014,159.8,179.8
19991115,159.5,179.5
19991202,160.3,180.3
20000106,160.1,180.1
20000208,160.3,180.3
20000302,160.3,180.3
20000407,160.8,180.8
20000504,161.3,181.3
20000712,161.2,181.2
20000809,160.2,180.2
20001005,160.8,180.8
20001115,160.9,180.9
20001207,160.7,180.7
20010105,161.3,181.3
20010208,161,181
20010319,160.3,180.3
20010410,161.1,181.1
20010509,161.2,181.2
20010713,162.5,182.5
20010817,160.8,180.8
20010911,160.5,180.5
20011012,160.6,180.6
20011102,160.7,180.7
20011212,160.5,180.5
20020107,160.5,180.5
20020205,160.9,180.9
20020304,161,181
20020405,161.1,181.1
20020516,161.2,181.2
20020604,161.1,181.1
20020702,160.6,180.6
20020820,161.1,181.1
20020918,161.3,181.3
20021011,160.8,180.8
20021119,160,180
20021205,164.5,184.5
20030107,160.7,180.7
20030207,160.4,180.4
20030317,160.5,180.5
20030408,160.9,180.9
20030506,161.1,181.1
20030604,161.2,181.2
20030716,161.1,181.1
20030808,161,181
20030917,160.9,180.9
20031020,160.7,180.7
20031107,160.8,180.8
20031208,160.9,180.9
20040112,161,181
20040203,161.1,181.1
20040301,161.2,181.2
20040401,161.3,181.3
20040506,161.3,181.3
20040607,161.3,181.3
20040727,161.2,181.2
20040826,160.3,180.3
20040920,160.7,180.7
20041005,161,181
20041102,160.5,180.5
20041203,160.7,180.7
20050104,161.3,181.3
20050204,160.9,180.9
20050307,161.2,181.2
20050406,161.7,181.7
20050502,161.6,181.6
20050601,161.8,181.8
20050707,161.5,181.5
20050811,161.3,181.3
20050913,161.3,181.3
20051020,161.2,181.2
20051102,161.1,181.1
20051202,161.2,181.2
20060104,161.1,181.1
20060202,161.2,181.2
20060309,161.7,181.7
20060412,163.5,183.5
20060502,163.4,183.4
20060605,162.7,182.7
20060615,162.4,182.4
20060711,162.3,182.3
20060802,162.1,182.1
20060913,161.8,181.8
20061011,161.7,181.7
20061108,161.4,181.4
20061207,161.3,181.3
20070108,161.2,181.2
20070214,161.1,181.1
20070309,161.3,181.3
20070411,161.3,181.3
20070510,161.4,181.4
20070604,161.1,181.1
20070705,161.4,181.4
20070802,161.3,181.3
20070906,161.3,181.3
20071003,161.2,181.2
20071116,161,181
20071212,160.9,180.9
20080107,161.2,181.2
20080204,161.2,181.2
20080303,161,181
20080404,161.1,181.1
20080505,161.4,181.4
20080623,161.1,181.1
20080702,161.2,181.2
20080801,161.1,181.1
20080919,160.9,180.9
20081017,160.9,180.9
20081104,160.9,180.9
20081203,160.8,180.8
20090105,160.8,180.8
20090205,161,181
20090305,161,181
20090403,161.2,181.2
20090508,161,181
20090602,161.2,181.2
20090714,161.1,181.1
20090806,161,181
20091008,160.9,180.9
20091102,160.8,180.8
20091214,160.8,180.8
20100104,160.7,180.7
20100201,160.8,180.8
20100310,160.9,180.9
20100405,161.2,181.2
20100505,161.1,181.1
20100602,161.1,181.1
20100721,161.2,181.2
20100802,161.1,181.1
20100908,161.1,181.1
20101005,161,181
20101105,160.9,180.9
20101207,160.7,180.7
20110103,161.3,181.3
20110202,160.7,180.7
20110301,161,181
20110408,162.1,182.1
20110502,161.3,181.3
20110613,161.3,181.3
20110701,161.3,181.3
20110803,161.3,181.3
20110906,161.1,181.1
20111005,161.2,181.2
20111109,160.6,180.6
20111206,160.6,180.6
20120104,160.7,180.7
20120201,160.9,180.9
20120301,160.8,180.8
20120411,161,181
20120501,161,181
20120604,161,181
20120703,161,181
20120714,156.4,176.4
20120807,160.8,180.8
20120904,160.8,180.8
20121001,160.6,180.6
20121109,160.8,180.8
20121212,160.8,180.8
20130104,160.4,180.4
20130207,160.8,180.8
20130307,161,181
20130405,160.7,180.7
20130509,160.9,180.9
20130613,160.8,180.8
20130701,160.9,180.9
20130808,160.6,180.6
20130903,160.6,180.6
20131002,160.4,180.4
20131114,160.4,180.4
20131211,160.1,180.1
20140103,160.4,180.4
20140221,160.5,180.5
20140303,160.7,180.7
20140402,160.5,180.5
20140505,160.4,180.4
20140609,160.7,180.7
20140714,156.4,176.4
20140805,160.3,180.3
20140825,160.3,180.3
20140901,160.3,180.3
20141001,160.3,180.3
20141114,160.3,180.3
20141203,160.3,180.3
20150109,160.2,180.2
20150218,160.3,180.3
20150305,160.3,180.3
20150416,160.2,180.2
20150504,159.9,179.9
20150603,160.4,180.4
20150713,160.3,180.3
20150804,160.3,180.3
20150817,160.4,180.4
20150902,160.4,180.4
20151001,160.3,180.3
20151102,160.3,180.3
20151201,160.1,180.1
20160104,160.2,180.2
20160203,160.1,180.1
20160317,160.2,180.2
20160420,160.4,180.4
20160502,160.4,180.4
20160608,160.4,180.4
20160711,160.5,180.5
20160816,160.5,180.5
20160913,160.5,180.5
20161007,160.4,180.4
20161128,160.3,180.3
20161221,160.4,180.4
20170123,160.8,180.8
20170214,161.3,181.3
20170307,161.2,181.2
20170417,162,182
20170503,162.1,182.1
20170605,161.5,181.5
20170629,161.2,181.2
20170711,161.4,181.4
20170802,161.1,181.1
20170913,161.1,181.1
20171003,161.1,181.1
